placeId,reviewId,reviewRate,reviewUser,reviewDate,reviewContent
83761,2477793,2,pticlod,01/11/2022,"very beautiful city to visit in the footsteps of Don Quixote. the area is not very clean, and many people in the park. we go further for the night."
83761,2349116,3,boss_hogg,07/09/2022,"parking easy to acces and close to centre. Dapled shade.  However, small green pond just behind hedge that smelled bad. Maybe mosquitos too. Decided to move on. Possibility to park outside cemetery just few hundred meters away ?"
83761,1695909,4,RicardoRapita,22/11/2021,Lovely town. We had a quiet night. Service area clean and in good working order.
83761,1638126,4,1978Canto,11/10/2021,Nice village. Chuli park for the little ones. There were a lot of flies. We stopped just to visit the town. Nearby bars with a lot of people and good food.
83761,1211899,3,Yudoxori,23/05/2021,"Good site, with shade. It is not recommended, at least, for a Saturday night, bottle lads."
83761,1192580,2,rvanvugt,11/05/2021,"I only used this spot as a day parking, it did not invite me to stay overnight. Trees with low hanging branches and construction work at one side don't really invite to stay longer than necessary. Not really suitable for bigger campervans. Cute little town but at my moment of stay everything was closed. Worth a short visit but nothing more."
83761,475424,5,chantal4015,04/05/2019,"Highly recommended site, village park with facilities for children, has a tap for water, a charming town of La Mancha, recommended for family."
83761,420693,2,salolimu,06/01/2019,"The site is very good, but it is a passage area for many people and cars that pass at full speed at night."
83781,3069184,1,FabriceNatacha,03/08/2023,"A place in the middle of nature which could be magnificent but in fact it is a dump, shame!!!! OK"
83781,2796075,1,MonKR16,28/05/2023,It's a secluded place and there are homeless people living nearby. Daily transit area of a school. Better to park next to the football stadium
83781,2442327,1,noe.drap,14/10/2022,"Quiet road until 8 in the morning. It is the road that leads to a school so it was impossible to leave until classes started, a lot of traffic. I guess in summer it will be better. Lots of mosquitoes at night."
83781,2042071,1,ValentinGaulhet,05/07/2022,"To avoid ! Disreputable according to a local we met (the famous man with 2 dogs, who just wanted to release us). In any case, there are large car parks next to the football stadium not far away, you will be much better off there in addition to being closer to the city center"
83781,1362453,2,AlbertoSope,25/07/2021,"Unfortunate to say ""WC the forest"". If we all do that we will soon destroy natural places, filling them with shit and paper. The site is not bad, but with responsibility."
83781,1335510,1,Mehdi1993,18/07/2021,"Attention private property, we were woken up by the owner and his two dogs! To avoid"
83781,404683,1,pozdrozoVanie,04/11/2018,This is not the place from the pictures. We were there but it’s look like quite scary and not safe. We didn’t sleep there.
83781,404101,1,uxtela,04/11/2018,Photos do not match one place. It is an empty path with some advantageous corners.
83781,388643,4,Ounnet85,06/10/2018,"I confirm, it is a small road very little busy. I stayed here for two nights without any problems or noise."
83781,320075,2,Van.Cat66,07/08/2018,"Be careful the photos are misleading. This is a nice place but it is not the parking that can be seen in the photo above. It is a site on the edge of a small road, a lot of waste which ruins everything. I only recommend this place if you can not find anything else that was our case."
83781,280336,5,gaby48,04/07/2018,"Great location for 50 very quiet motorhomes, no problem with the police just under the meadow stage of the A7 motorway"
83790,2697152,1,Natalia77,25/04/2023,"The parking is private for restaurant customers. There is another one free but it is quite dirty and very close to the main road. It is better to go ahead and stop at Murillo de Gállego, which is a few kilometers away."
83790,611183,3,seryncro,08/08/2019,For a bath and stop on the road more than recommended !!
83790,601371,5,seryncro,05/08/2019,"Place attached to the swamp, quiet and very refreshing !!"
83790,380771,4,alexnaval,23/09/2018,A bit noisy for the bikes in the morning because of its proximity to the road but quiet. the bar people very friendly and well priced to eat
83830,3221908,1,stevievanlife,26/08/2023,"Prohibited overnight, the guard puts the license plates. lots of toilet papers and other rubbish here. good views but for that alone it is not worth it to do all the way over the area of the polygon very ugly"
83830,2290236,4,alemodena,23/08/2022,"We stopped for lunch, nice little place and with a nice view. Very calm"
83830,1173857,1,cleobea,15/04/2021,"The site is spectacular, but overnight stays are prohibited. The Civil Guard goes up frequently. The lighthouse is a protected area."
83830,1173856,1,juansisto,15/04/2021,"The Civil Guard came at 00:30 to lay us down, as we have a baby and there is a curfew they let us stay, but in the morning another Civil Guard car appeared, and noted the license plate, I don't know if they have fined us. A while later, a car appeared with two very strange men, one of them smoking, circled the van just half a meter away, took a photo from behind and they left ..."
83830,987574,3,penacas,21/08/2020,"A beautiful place to spend the day, hike along the cliffs and watch the sunset, but not to spend the night. In the middle of the night, the Civil Guard came to ask us to leave because sleeping there is prohibited. And according to what we were told, we have not been the first during these last days who have been told to leave."
83830,977434,3,jaumegil,18/08/2020,"50 meters of potholes to access. very quiet, ideal for walks by the lighthouse of Nieva. Very quiet, 50 meters of potholes to the access, fishermen's parking and watching sunsets. start of good walks."
83830,901965,3,Li7us,26/07/2020,"Good place, you only have to make 50 meters of road with the occasional pothole, accessible for all types of vehicles, although the area has quite a few potholes we have planted ourselves flat. Everything and that, a place of passage for people to watch the sunset."
