placeId,reviewId,reviewRate,reviewUser,reviewDate,reviewContent
82859,3241449,5,Tucha,31/08/2023,"It is not a caravan park. It is a space where you can park and there is no prohibition sign. We spent a day here and stayed overnight. Very peaceful. In front of the hotel, bus 16 passes directly to the center of S. Sebastian every 30 minutes. €1.85 each trip. It is regrettable that there are no paid motorhome parks in S. Sebastian. Wonderful city but not caravan frendly."
82859,3070782,4,benjaminestable,03/08/2023,"Nice location on a dirt parking lot, the places are a little sloping but the site is good, on the GR with a great view and hiking trails and not far from the city center on foot and from a bus stop, ideal <7m"
82859,3055033,4,TomiBacon,01/08/2023,A quiet place among greenery
82859,3037675,3,Pepperli,29/07/2023,"Here we stood one night. Unfortunately, people still came at night who wanted to use the parking space, and not exactly quietly. The garbage disposal also emptied the bottle container at night. But otherwise it worked. The amusement park above offers unique views of San Sebastian. Be sure to stay until sunset."
82859,3026438,4,ImaGIN22,26/07/2023,"Nice spot for camper vans: around 8 places. Quite small, the place quickly becomes friendly. In the shade. Right next to the road, but from the 22hoo everything gets quieter. Near hotel, hiking trail, and superb view. No amenities on site. Perfect for a night without the need to cook or anything."
82859,3016756,5,jeanden,25/07/2023,great. quiet.. great view at 20 meters. parking lot with 8 large spaces max. it is slightly sloping to put on hold and perfect night .. we immediately feel in the Basque country on waking. the ewes. view . the Basque hotel .. at the top.
82859,2691702,4,stessyrivalin85,23/04/2023,"Parking near the city, possibility of a short hike with a great view. No convenience, relatively noisy with the road, not many level places."
82859,2603482,5,TimdelaT,09/03/2023,"All paid parking around the center and not here, there were more campers so it felt safe. The branch end down is quite okay and you can walk from two sides, so a nice circle around, if you take the less passable path you will reach a beautiful view of the bay after a few minutes!"
82859,2523224,4,kundalininomad,17/12/2022,"Free parking overlooking the city and the sea, can be noisy with cars, walkers and rubbish collection trucks, but it’s fine for an overnight stay…… 30 min walk down to the beach and old town……it is what it is, don’t expect paradise but I’ve stopped at worse spots……"
82859,2283667,3,sil_van,22/08/2022,"to sleep if you can't find another place. Passage of the Camino de Santiago, next to the hotel (they do not provide breakfast if you are not staying) Quiet night despite having the road stuck"
82859,2207688,2,HansElfi,10/08/2022,Only suitable as a day parking space. Way too loud at night. Busy activity and traffic noise from the street.
82859,2179996,5,celine35290,05/08/2022,Super nice little parking lot!! But very small. You can walk down to the beach in 10 min. There is a funicular and a playground a few meters away. Be careful if you continue the road you must necessarily enter the park and pay.
82859,2130834,5,Gian.luca,27/07/2022,"great spot, very quiet at night and during the day. we left the camper all day without worries. To visit the city you can go down a small road and in 10 minutes you are at the Hondarreta beach. Or bus 16 in front of the hotel. There is also a path that takes you to a cliff in 10 minutes."
82859,2077847,3,mariiietee,15/07/2022,"Without further ado, to spend one night and that's it. Quiet night but nothing special."
82859,2001422,4,Farlafinita,22/06/2022,Good place for 1 night
82859,1955468,5,albacano,07/06/2022,"Very good place, it is very quiet, I arrived after 10pm and got a place. you have the trash so you don't leave anything, if you come use it. We slept several vans. It's great and you don't have to worry about paying for the blue zone!"
82859,1747035,5,unbekannter,03/02/2022,"Small gravel parking lot next to the hotel parking lot. Quiet, a few hikers pass by. 30 minute walk down hill into town. There are dumpsters on the square."
82859,1734100,3,Montezelin,14/01/2022,"Great but not flat, too bad we would have stopped there for the night."
