placeId,reviewId,reviewRate,reviewUser,reviewDate,reviewContent
393519,2558919,3,IvanilTerribile,23/01/2023,"I was in this Disa Propane center the first week of January and I had 2 Italian gas cylinders. 1 they filled it for me and the second one they collected and disposed of, they told me that they filled all types of cylinders, the important thing is that they have not expired as a test. I have no interest in telling lies."
393519,2558770,1,Nikoliane,23/01/2023,"They only load Spanish cylinders, moreover if you want to buy one of theirs you have to make a contract and have a residence on the island … nice rip off"
393527,2549561,5,freeandeasyventures,11/01/2023,Huge washing machine in the center of ubeda. Good results and really close to the center with various shops
393556,2685799,4,rosaamarilla,21/04/2023,"We have parked in another very large field of dirt behind the caprabo, next to the central street... I don't know how to put it and that's why I say it on this site. It was the feast of Saint Christ... a blast of activities, concerts, etc. and the super quiet countryside...perfect."
393560,3032932,1,deMan71,28/07/2023,"within 10 minutes of parking, window broken and broken into."
393573,2767785,5,irewondo,20/05/2023,"It is very quiet, we stayed one night and we did not see a single person. in the middle of the very beautiful mountain"
393587,3286818,4,MarcelSmeets,11/09/2023,great place mirador with beautiful view very quiet no services. had a quiet night here
393603,3228196,4,BazzFamily,27/08/2023,accessible by heavy-weight 19t we spent a few days at la guardia no problem and in high season access 5 min to the crystal clear water beach on the other hand from day and night passage by car
393603,3033184,3,optrot,28/07/2023,"nice view, nice walks to the military domain. The beach is a 5 min walk away, with 2 restaurants, nice and friendly. Had a quiet night."
393603,2606556,3,Maetthy,12/03/2023,"The driveway is very narrow for the last few hundred meters to the square. Not recommended with large motorhomes over 7 meters. Despite a cul-de-sac to the restaurant and beach, there is some traffic at night. If you sleep well, you won't have any problems. The panorama with sunset is super nice."
393611,2560099,3,jette87,25/01/2023,"Large area, not quite straight and next to the road but ok for one night"
393614,2579635,1,Provon,16/02/2023,"NO GO!!! Super bad place, nothing gat clean and it was super expensive!!!"
393614,2558975,2,0range,23/01/2023,"despite washing program 2/hot water 45°, the washing water remains cold"
393661,2596631,1,mikelbv,03/03/2023,"It is full of caravans parked with no people inside. Parking lots on a road where cars do not stop passing at high speed, day and night. You can't rest, you move up to the motorhome at the speed at which they pass. I do not recommend it."
393695,3290196,5,acinipo-,12/09/2023,"I loved this place. I came for 2 days and I stayed for 5. The services always smell like glory. There is exquisite cleanliness and the treatment couldn't be better. Two wonderful people and everything you need in the town is still happening and the beach is relatively quiet. In short, I recommend it, I will return, and the rate now is €12."
393695,3254498,5,arantzi73,03/09/2023,Perfect place to sleep and to visit Chipiona
393695,3250425,4,Maribelcl,02/09/2023,"Good area to visit Chipiona and surroundings. At first you couldn't camp because they had another type of license, but it is now allowed, the only thing they don't let you do is have a barbecue and put a tarp on the ground to protect the grass. The only drawback I have is that it still doesn't have sinks and since there are only two of us traveling, we don't pay that extra. At 300 m. There is a local grill and fryer to pick up food."
393695,3209953,5,Dxt,24/08/2023,"Place near the center, 15 minutes walk, the beach in a super close line, the quiet and very cozy place, hot showers and bathrooms. The charming owner will certainly repeat soon, thank you very much for everything, we slept wonderfully"
393695,3194909,4,carlosutrera,21/08/2023,"Careful, clean, collected and guarded. The only problem I see is that it is far from practically everything. The beach takes about 10 minutes walking and is crowded. If you want to get to the downtown area, it takes about 30 or 40 minutes on foot. Nearby, you only have small neighborhood stores. And the owners run it wonderfully, but the only drawback is that, the place where it is located."
393695,3182075,1,francisco46Badajoz,19/08/2023,"!!! BEWARE! They do not admit unapproved campers but they do not notify it by phone, nor do they have it in writing, in theory it is Parking because they do not allow seats to be taken out according to their rules but then they do turn a blind eye. Well... when it comes to the approvals they also pass the hand to whomever they think since three days before some friends had spent the night there and they didn't ask them for anything... weird, weird."
393695,3176140,4,Semarri42,18/08/2023,"Very comfortable place with large plots and the staff is friendly, the door is always closed even though the reception is open. Everything is quite new and things have to be improved. When there are many campers, there is no light for all of them, which is inconvenient and that is why I do not give 5 stars. This I suppose will improve over time."
393695,3128039,1,Bruneteaufredo,12/08/2023,We arrived at 2 p.m. on August 9 No one present on site only reachable by phone When I called I was told that everything was full and we saw that there were more than 10 free pitches hard to believe ..... The person sent me an SMS following our call telling me that everything was booked still hard to believe....
393695,3121997,4,Canarias_Viaja,11/08/2023,"A very quiet and clean place, very well attended. €18 per day with electricity, services and hot shower. Possibility of washing machine. Very close to the center and the beach. We have been several days."
393695,3109116,1,Sara19802015,09/08/2023,We called to make a reservation..we arrived and they told us that we couldn't if the furniture is not approved in the papers.. we brought a mini Camper.. he left us out so be careful they only want Campers with a high purchasing power or motorhomes. nothing recommended better not go
393695,3097007,3,vivicampers,07/08/2023,"A quiet place, to visit Chipiona 5 minutes from the beach and 20 minutes walking to the center, 15 euros a night for a t4 two people, clean bathrooms and showers, we will repeat"
393695,3091566,5,marisa22,06/08/2023,"Magnificent area, both the owners and the worker are charming, we came for a few days and we have been here for almost two weeks and we continue to enjoy Chipiona and its people here."
393695,3084363,5,karineroule,05/08/2023,"Superb secure area. Clean toilets, caring managers despite the language barrier. Nice discovery for this small town I highly recommend."
393695,3067083,5,EliasRiquelme,03/08/2023,"Excellent site. very cosy. It has many sites, at the moment little shade but in a few years the best area for sure. 2 bathrooms with 2 showers each one unloading the toilet, a sink is needed. Excellent treatment, quiet and very clean. highly recommended."
393695,3041562,1,nereau,29/07/2023,"Although everything is fine, the price for a family of four is outrageous, it's laughing at one"
393695,3008295,3,jrfernandez,23/07/2023,"300m from the beach, one km from the center, although bars and atmosphere very close. Everything clean but only dis showers with little or no privacy, they don't have WiFi, if you want electricity you have to wait for others to leave. They don't let you put canvas on the ground so that the green comes out when it's a real dusty terrarium. Upon entering they give you paper indicating not to take anything as they are considered camping"
393695,3007194,5,IvanGallardo,23/07/2023,"It is located in a very good area, a quiet place without noise, clean and tidy, no mosquitoes, we were 2 people one night (€15), friendly staff. In the future it will be a great area if they continue like this. Beach and beach bars nearby, we'll be back!"
393695,2996704,5,novemberlilli,21/07/2023,"We (2 p.) paid €15/24h for our camper. Showers, toilets and washing machine (4€ per load) available. Place very well maintained! Friendly, helpful staff. We had no problem with mosquitoes. Didn't hear a rooster in 3 nights, and the barking of dogs was absolutely limited. Small trash can in the square, large one around the corner on the street. Awning etc. allowed!"
393695,2994983,1,freyasgard88,21/07/2023,€15 a night… but if we go with my two daughters €15 of supplement!!! I don't understand…..
