user,vehicleType,premium
AranGilGomez,Minivan,0
Sabinau,Camper GV,1
gemaGd,Not defined,0
pollitos,Not defined,1
Poloblue73,Not defined,0
lippiii,Not defined,0
Thalyjo,Furgoneta,0
COontheroad,Not defined,0
Locke0601,Not defined,1
Broussijadou33,Not defined,0
Anichu47,Furgoneta,0
CundAnt,Not defined,0
Evaeme,Not defined,0
patixini,Not defined,0
charlie1029,Not defined,0
javitxu90,Minivan,0
Arto2018,Heavy Van,0
ninacharlotte901,Furgoneta,0
LaiaXeraco,Furgoneta,0
gomarhl,Minivan,0
uroyo,Not defined,0
montanaperdida,Minivan,0
froglegeater,Camper GV,0
pepite33,Not defined,0
LeireRekalde,Not defined,0
CageE,Camper GV,1
Soto77,Furgoneta,0
Meloch09,Not defined,0
jdgraaf,Furgoneta,1
LouBouille75,Not defined,0
Brice2cannes,Not defined,1
Andreacamper,Not defined,0
silviaapec,Not defined,0
Meixi,Furgoneta,0
MaiAi,Not defined,0
Ainhowi,Furgoneta,0
Izarbeltz,Not defined,0
SerKra,Not defined,0
maxiontour,Furgoneta,0
Aurke,Minivan,0
Melisypedis,Not defined,0
ShonaParker,Furgoneta,0
urik,Furgoneta,0
virum,Minivan,0
Lauritrix,Furgoneta,0
muliblue,Furgoneta,0
Apolo13G,Not defined,0
Bullfrog,Perfil Van,0
albarnipe,Furgoneta,0
Petit_periple,Furgoneta,0
vanvwt3,Not defined,0
reicony,Furgoneta,0
Scilash66,Perfil Van,1
Kerrybentley,Furgoneta,0
KarimMarine,Not defined,0
Schurfer,Camper GV,0
roadtoparty303,Capuchina Van,0
Jentilzubi,Capuchina Van,0
Ita-leo,Perfil Van,1
anamirmir,Not defined,0
Vaquesenfurgo,Camper GV,0
lajoa,Not defined,0
juanjo_castro,Capuchina Van,1
mirperfer,Not defined,0
Pooolo,Minivan,0
Rojorgil,Capuchina Van,0
lidialucia,Perfil Van,0
Orome111,Perfil Van,0
lince23,Not defined,0
Agutito,Integral Van,0
jonas94,Not defined,0
Florimotorhome,Perfil Van,0
